time,data
83.7,17.28323491
83.8,17.30554283
83.9,17.32785643
84,17.35017249
84.1,17.37248613
84.2,17.39479425
84.3,17.41709769
84.4,17.43940054
84.5,17.46170722
84.6,17.4840194
84.7,17.50633483
84.8,17.52864907
84.9,17.55095856
85,17.57326316
85.1,17.59556615
85.2,17.61787186
85.3,17.64018265
85.4,17.66249727
85.5,17.68481179
85.6,17.70712246
85.7,17.72942828
85.8,17.75173166
85.9,17.77403668
86,17.79634619
86.1,17.81865984
86.2,17.84097438
86.3,17.86328601
86.4,17.88559303
86.5,17.90789701
86.6,17.93020161
86.7,17.95250999
86.8,17.97482259
86.9,17.9971369
87,18.01944925
87.1,18.04175741
87.2,18.06406214
87.3,18.08636658
87.4,18.108674
87.5,18.13098554
87.6,18.15329942
87.7,18.17561224
87.8,18.19792144
87.9,18.22022702
88,18.24253152
88.1,18.26483819
88.2,18.28714869
88.3,18.30946197
88.4,18.33177505
88.5,18.35408515
88.6,18.37639163
88.7,18.39869638
88.8,18.4210025
88.9,18.44331203
89,18.46562461
89.1,18.48793774
89.2,18.51024857
89.3,18.53255594
89.4,18.55486112
89.5,18.57716689
89.6,18.59947556
89.7,18.62178736
89.8,18.64410034
89.9,18.66641174
90,18.68871997
90.1,18.71102568
90.2,18.73333129
90.3,18.75563923
90.4,18.77795024
90.5,18.80026292
90.6,18.8225747
90.7,18.84488372
90.8,18.86719005
90.9,18.88949568
91,18.91180302
91.1,18.93411325
91.2,18.95642551
91.3,18.9787375
91.4,19.0010472
91.5,19.0233542
91.6,19.04565999
91.7,19.06796689
91.8,19.09027639
91.9,19.11258813
92,19.13490019
92.1,19.15721045
92.2,19.17951811
92.3,19.20182419
92.4,19.22413081
92.5,19.24643965
92.6,19.26875082
92.7,19.29106279
92.8,19.31337349
92.9,19.33568179
93,19.35798826
93.1,19.38029473
93.2,19.40260301
93.3,19.42491359
93.4,19.44722535
93.5,19.46953636
93.6,19.49184525
93.7,19.51415217
93.8,19.53645863
93.9,19.55876645
94,19.58107644
94.1,19.60338789
94.2,19.62569908
94.3,19.6480085
94.4,19.6703159
94.5,19.69262246
94.6,19.71492993
94.7,19.73723937
94.8,19.75955045
94.9,19.7818617
95,19.80417154
95.1,19.82647944
95.2,19.8487862
95.3,19.87109344
95.4,19.89340237
95.5,19.91571303
95.6,19.93802423
95.7,19.96033442
95.8,19.98264279
95.9,20.00494983
96,20.02725694
96.1,20.04956544
96.2,20.07187566
96.3,20.09418671
96.4,20.11649714
96.5,20.13880596
96.6,20.16111332
96.7,20.1834204
96.8,20.20572854
96.9,20.22803833
97,20.25034916
97.1,20.27265974
97.2,20.29496895
97.3,20.31727667
97.4,20.33958381
97.5,20.36189168
97.6,20.38420104
97.7,20.4065116
97.8,20.42882223
97.9,20.45113178
98,20.47343986
98.1,20.49574713
98.2,20.51805481
98.3,20.54036379
98.4,20.56267404
98.5,20.58498465
98.6,20.60729446
98.7,20.62960289
98.8,20.65191036
98.9,20.67421793
99,20.69652657
99.1,20.7188365
99.2,20.741147
99.3,20.763457
99.4,20.78576577
99.5,20.80807347
99.6,20.83038101
99.7,20.85268937
99.8,20.87499897
99.9,20.89730932
100,20.91961944
100.1,20.9419285
100.2,20.96423646
