time,distur_data,data
616.1,1261.52471,80.0088979
616.2,2445.800881,80.00801225
616.3,-3424.599026,80.00683428
616.4,2764.176804,80.00649664
616.5,-2480.447398,80.00686123
616.6,1120.577499,80.00796081
616.7,3546.031182,80.00878945
616.8,-1853.924886,80.00866503
616.9,1084.44453,80.00797772
617,-3740.778448,80.00702915
617.1,-1263.382345,80.00674787
617.2,-3667.066185,80.00715689
617.3,-2381.373219,80.00809255
617.4,-3739.690119,80.00880863
617.5,-2971.826903,80.00888782
617.6,2505.248379,80.00824417
617.7,-4290.498653,80.00707309
617.8,-410.8625908,80.00659269
617.9,4632.435697,80.00689247
618,-2653.241198,80.00752051
618.1,-3024.820643,80.00844003
618.2,1839.460538,80.00898127
618.3,-4186.735148,80.00852898
618.4,3542.364826,80.00776562
618.5,-3474.373668,80.00680725
618.6,-3798.2334,80.00674386
618.7,3091.238289,80.00758474
618.8,4441.926293,80.00837983
618.9,-4544.796655,80.00855584
619,-4397.376259,80.00847663
619.1,3297.222098,80.00814825
619.2,-3588.2066,80.00742377
619.3,3011.678163,80.00722894
619.4,-2725.115003,80.00731998
619.5,-1007.85435,80.00797235
619.6,991.9409808,80.00860551
619.7,1552.063858,80.00869612
619.8,-4462.731979,80.00818543
619.9,4863.635572,80.00776408
620,3123.052049,80.00722146
620.1,-864.2042968,80.00709529
620.2,-4681.615964,80.00766487
620.3,-3919.51302,80.00869499
620.4,4744.670149,80.00940227
620.5,3671.191218,80.00887016
620.6,1710.795721,80.00761255
620.7,3343.689068,80.006623
620.8,-2617.827727,80.00649659
620.9,2169.387581,80.00762201
621,897.0801094,80.00890669
621.1,-2774.6012,80.009544
621.2,-2722.376644,80.00928105
621.3,-4984.26381,80.00829656
621.4,-521.8600787,80.00741523
621.5,-902.3424731,80.00701761
621.6,4330.054419,80.00742861
621.7,-4775.383174,80.00808246
621.8,134.989291,80.00902174
621.9,-1234.985714,80.00928327
622,3595.105535,80.00880664
622.1,2938.721645,80.00769268
622.2,1094.681861,80.00680357
622.3,-1681.963465,80.00685152
622.4,1240.051094,80.00791829
622.5,1538.730523,80.00907358
622.6,1443.897852,80.00951215
622.7,-2408.802285,80.00894884
622.8,-4739.997,80.00799497
622.9,4870.415749,80.00742409
623,-2922.507095,80.00712642
623.1,1423.25241,80.00776663
623.2,603.2468218,80.00861031
623.3,-1230.665383,80.0091344
623.4,-3793.092695,80.00906912
623.5,-508.9321618,80.00859484
623.6,-3622.844172,80.00787307
623.7,858.0011902,80.00760061
623.8,426.0032137,80.00771888
623.9,-163.9872674,80.00819532
624,3865.99726,80.00872402
624.1,-4184.05272,80.00873016
624.2,-1374.069846,80.00866177
624.3,-3991.908603,80.00838097
624.4,-2007.888577,80.00824866
624.5,3416.679361,80.00824757
624.6,4130.021971,80.00812203
624.7,3279.27072,80.00796843
624.8,4702.988802,80.00794825
624.9,3132.800543,80.00799709
625,2978.72303,80.00816752
625.1,3397.958422,80.00833212
625.2,-512.7969922,80.00834713
625.3,1420.95194,80.00839968
625.4,1939.260879,80.00832058
625.5,3157.593984,80.00814418
625.6,-317.9070425,80.00792599
625.7,-3063.663024,80.00799274
625.8,-984.4525186,80.00839919
625.9,4306.519432,80.00872078
626,-327.9119149,80.0084665
626.1,-1215.554474,80.00808427
626.2,175.9551117,80.00784926
626.3,-2722.437516,80.00783577
626.4,3992.6732,80.00819599
626.5,4858.473847,80.00829938
626.6,-3630.059808,80.00806436
